id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm175954,Aziz Ansari: Buried Alive,MOVIE,"Standup comedian Aziz Ansari (""Parks and Recreation"") headlines his third standup special, where he shares his uniquely hilarious perspective on fears of adulthood, babies, marriage, and more. Ansari's look at life on the cusp of 30 years old is smart, unfiltered, and hysterical.",2013,,79,"['comedy', 'documentation']",['US'],,tt2836450,7.2,3998,0.0,0.0
tm158436,Print the Legend,MOVIE,3D printing is changing the world – from printing guns and human organs to dismantling the world’s industrial infrastructure by enabling home manufacturing. The 3D Printing revolution has begun. Who will make it?,2014,,100,"['documentation', 'drama', 'history']",['US'],,tt3557464,7.0,1967,0.0,0.0
tm172027,The Butterfly's Dream,MOVIE,"In a small Turkish town, two young tuberculous poets try to survive while publishing their poems. As they both fall in love, their life would never be the same.",2013,PG-13,138,"['drama', 'history', 'romance']",['TR'],,tt2608224,7.7,22191,0.0,0.0
tm209037,Tea Time,MOVIE,"More than sixty years after leaving high school, former classmates Alicia, Gema, Angelica, Ximena and Maria Teresa are still devoted to their regular catch-ups in which they exchange gossip and reminiscences over elaborately presented afternoon teas. Impeccably turned out, the ladies’ free-wheeling tea-time chats run the gamut from mortality and marital infidelity to soccer and twerking.",2014,,70,['documentation'],['CL'],,tt4147684,7.6,507,0.0,0.0
tm153055,Mitt,MOVIE,A filmmaker is granted unprecedented access to a political candidate and his family as he runs for President.,2014,,93,"['documentation', 'family']",['US'],,tt1757800,6.9,2579,0.0,0.0
tm155051,Trailer Park Boys - Live in F**kin' Dublin,MOVIE,The boys head to Ireland after winning a contest to see Rush but are arrested by immigration and must perform a community service puppet show.,2014,,81,['comedy'],['CA'],,tt3580052,6.2,1569,0.0,0.0
tm143299,Ungli,MOVIE,"When a corrupt judicial system lets a drunken driver off scott-free, four gym friends become vigilantes to avenge the death of their trainer.",2014,PG-13,114,"['thriller', 'crime', 'drama']",['IN'],,tt2392447,5.8,3914,0.0,0.0
tm348393,When Love Happens,MOVIE,"Fed up with coordinating weddings for everyone else, unlucky-in-love event planner Mo turns to the internet to see if she can find her own Mr. Right.",2014,,109,['romance'],['NG'],,tt4094916,4.8,129,0.0,0.0
tm182227,Marc Maron: Thinky Pain,MOVIE,"Marc Maron returns to his old stomping grounds for an intimate special in which he takes stock of himself. More than ever, Maron is raw and hilariously honest as he dissects his own neuroses and self-loathing while providing outrageous anecdotes from his personal life, in which he starts to realize the hurt isn't real, it's just ""Thinky Pain.""",2013,,90,['comedy'],['US'],,tt3004634,7.3,1892,0.0,0.0
tm182534,From One Second to the Next,MOVIE,Stories of serious traffic accidents caused by texting and driving are told by the perpetrators and surviving victims.,2013,,34,['documentation'],['US'],,,,,0.0,0.0
ts121189,"Raja, Rasoi Aur Anya Kahaniyaan",SHOW,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",2014,,29,"['history', 'documentation']",['IN'],3,tt6953924,8.9,333,0.0,10.0
tm157461,Coming Soon,MOVIE,"Pirated DVD seller Zafer who is formerly an extra in movies, swore to give up illegal works when his wife wanted to get divorce. To win his family back, he and his old-fashioned crew decided to make a movie called ""Summit - The End Of Evil"" which is a fantastic science fiction movie and couldn't be shot since 1977. A funny, entertaining and emotional journey awaits him who waded into this adventure with his unqualified crew.",2014,PG,134,"['romance', 'drama', 'comedy']",['TR'],,tt3698408,7.3,34137,0.0,0.0
tm370685,Dazzling Mirage,MOVIE,An adaptation of Yinka Egbokhare's novel. The story of a young sickle-cell patient and the various social and emotional challenges she's faced with.,2014,,90,"['romance', 'drama']",['NG'],,tt10183654,,,0.0,
ts20238,Boss & Me,SHOW,"Based off Gu Man’s very popular internet novel, the story tells of a kind hearted young girl who works at a big conglomerate. However one of her weaknesses is eating, she loves to eat, and so upon discovering this her boss decides to intentionally fatten her up; she just so happens to share the same blood type as his sister, and thus has the motive of making her the blood donor. Hence comedy ensues as she melts his heart with her exceptional appetite and her cute charm.",2014,TV-PG,45,"['comedy', 'romance']",['CN'],1,tt6186406,7.3,456,0.0,0.0
tm157609,Born in Gaza,MOVIE,This documentary focuses on the devastating violence of the Israel-Palestine conflict and its effects on the children of Gaza.,2014,,69,"['documentation', 'european']",['ES'],,tt4205416,7.4,511,0.0,0.0
tm577690,A Place in the Stars,MOVIE,A young lawyer gets a case he believes will make him rich. In the process he encounters dangerous men willing to kill to protect a fake and adulterated medical drugs trade worth billions in Nigeria. The outcome helps him come to terms with his life and resolve the clash of values he has had with his father all along.,2014,,112,"['thriller', 'drama']",['NG'],,tt3522136,6.2,19,0.0,
tm152273,Tiger & Bunny: The Rising,MOVIE,"The heroes of 'Tiger & Bunny' are back in an all-new feature-length film! Picking up after the events of the Maverick incident, Kotetsu T. Kaburagi, a.k.k Wild Tiger, and Barnaby Brooks Jr. resume their careers as heroes fighting crime in Hero TV's Second League. Their partnership comes to a sudden end when Apollon Media's new owner Mark Schneider fires Kotetsu and moves Barnaby back into the First League, pairing him up with Golden Ryan, a new hero with awesome powers and a huge ego to match.  When the heroes are sent to investigate a string of strange incidents tied closely to the city's Goddess Legend, they discover three super powered NEXTs plotting to bring terror and destruction to Stern Bild. With the lives of millions hanging in the balance, Barnaby and Goden Ryan must overcome their differences to contain the approaching doom, while a jobless Kotetsu's resolve as a hero is put to the test as he struggles to help his fellow heroes from the sidelines.",2014,,108,"['scifi', 'action', 'animation']",['JP'],,tt4625302,6.7,334,0.0,0.0
tm202914,My Own Man,MOVIE,"Rattled by the prospect of becoming a dad, a 40-year-old filmmaker begins to consider what ""manhood"" really means for him, prompting him to pursue an array of interests and reexamine his views -- which were shaped by his father.",2014,,82,"['documentation', 'drama', 'comedy', 'family']",['US'],,tt3356434,6.4,447,0.0,0.0
tm183654,SDU: Sex Duties Unit,MOVIE,"The Special Duties Unit (SDU) is an elite paramilitary tactical unit of the Hong Kong Police Force and is considered one of the world's finest in its role. But being the best carries its own burdens. Like everyone else, they go through troubles with love, with family and with their jobs. And sometimes they get horny.  This touching story is about Special Duties Unit Team B and their trip to Macau for a weekend of unadulterated debauchery.",2013,,94,"['comedy', 'action']",['HK'],,tt3044248,5.9,492,0.0,0.0
tm147518,City of God: 10 Years Later,MOVIE,City of God – 10 Years Later investigates what happened to the actors who took part in the award-winning film directed by Fernando Meirelles and Katia Lund. This documentary shows what City of God’s worldwide success meant to their lives. Were the actors prepared for the film’s success? Did the social background of some of them prove stronger than the opportunity that came their way?,2013,PG,69,['documentation'],['BR'],,tt4103686,6.4,1322,0.0,0.0
